nombre;zona_geografica;año;t_min;t_max
Alto Palena Ad.;PreCordillera;1980;64,3;1,69300000000000e+02
Alto Palena Ad.;PreCordillera;1981;62,4;1,68200000000000e+02
Alto Palena Ad.;PreCordillera;1982;55,0;1,70000000000000e+02
Alto Palena Ad.;PreCordillera;1983;62,3;1,77400000000000e+02
Alto Palena Ad.;PreCordillera;1984;56,2;1,61400000000000e+02
Alto Palena Ad.;PreCordillera;1985;64,1;1,74500000000000e+02
Alto Palena Ad.;PreCordillera;1986;59,0;1,63900000000000e+02
Alto Palena Ad.;PreCordillera;1987;65,8;1,54100000000000e+02
Alto Palena Ad.;PreCordillera;1988;60,5;1,60100000000000e+02
Alto Palena Ad.;PreCordillera;1989;56,4;1,27400000000000e+02
Alto Palena Ad.;PreCordillera;1990;58,4;1,36400000000000e+02
Alto Palena Ad.;PreCordillera;1991;48,8;1,27300000000000e+02
Alto Palena Ad.;PreCordillera;1992;54,7;1,52300000000000e+02
Alto Palena Ad.;PreCordillera;1993;59,4;1,41400000000000e+02
Alto Palena Ad.;PreCordillera;1994;59,0;1,71700000000000e+02
Alto Palena Ad.;PreCordillera;1995;51,9;1,70100000000000e+02
Alto Palena Ad.;PreCordillera;1996;60,7;1,69500000000000e+02
Alto Palena Ad.;PreCordillera;1997;51,1;1,29800000000000e+02
Alto Palena Ad.;PreCordillera;1998;62,7;1,44500000000000e+02
Alto Palena Ad.;PreCordillera;1999;38,4;1,27400000000000e+02
Alto Palena Ad.;PreCordillera;2000;38,5;1,02400000000000e+02
Alto Palena Ad.;PreCordillera;2001;51,0;1,69500000000000e+02
Alto Palena Ad.;PreCordillera;2002;62,2;1,63000000000000e+02
Alto Palena Ad.;PreCordillera;2003;62,7;1,53900000000000e+02
Alto Palena Ad.;PreCordillera;2004;60,1;1,58200000000000e+02
Alto Palena Ad.;PreCordillera;2005;48,9;1,55300000000000e+02
Alto Palena Ad.;PreCordillera;2006;37,0;1,24300000000000e+02
Alto Palena Ad.;PreCordillera;2007;39,4;1,10700000000000e+02
Alto Palena Ad.;PreCordillera;2008;42,1;1,01500000000000e+02
Alto Palena Ad.;PreCordillera;2009;27,1;1,62000000000000e+01
Alto Palena Ad.;PreCordillera;2010;19,0;2,93000000000000e+01
Alto Palena Ad.;PreCordillera;2011;7,9;2,35000000000000e+01
Alto Palena Ad.;PreCordillera;2012;61,1;1,76800000000000e+02
Alto Palena Ad.;PreCordillera;2013;1882,5;5,18930000000000e+03
Alto Palena Ad.;PreCordillera;2014;69,1;1,81900000000000e+02
Alto Palena Ad.;PreCordillera;2015;61,1;1,89000000000000e+02
Alto Palena Ad.;PreCordillera;2016;1708,1;5,96630000000000e+03
